SubjID,Run,Order,ItemNumber,Onset,Duration,Condition,Flip,Sentence,AgentName,AgentShape,PatientName,PatientShape
test,1,A,52,0,6,Agent,1,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square
test,1,A,30,6.29999999998836,6,Agent,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
test,1,A,N/A,12.5999999999767,6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,55,18.5999999999767,6,Patient,0,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square
test,1,A,27,24.8999999999651,6,Agent,1,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval
test,1,A,N/A,31.1999999999534,6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,16,37.1999999999534,6,Agent,1,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square
test,1,A,N/A,43.4999999999418,10,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,20,53.4999999999418,6,Patient,0,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star
test,1,A,N/A,59.7999999999302,8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,13,67.7999999999302,6,Patient,0,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle
test,1,A,N/A,74.0999999999185,8,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,43,82.0999999999185,6,Agent,1,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square
test,1,A,N/A,88.3999999999069,18,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,8,106.399999999907,6,Agent,1,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star
test,1,A,N/A,112.699999999895,6,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,19,118.699999999895,6,Patient,0,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square
test,1,A,30,124.999999999884,6,Patient,1,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval
test,1,A,48,131.299999999872,6,Patient,1,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star
test,1,A,54,137.59999999986,6,Agent,1,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star
test,1,A,N/A,143.899999999849,16,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,2,159.899999999849,6,Agent,0,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star
test,1,A,N/A,166.199999999837,4,NULL ,N/A,N/A,N/A,N/A,N/A,N/A
test,1,A,9,170.199999999837,6,Agent,0,Kyle Square is rolling Melissa Oval.,Kyle,Square,Melissa,Oval
